type,compilation time,deployment time,total time
sfc,0.009897947311401367,0.0,0.00991201400756836
qos,0.007564067840576172,0.0,0.0075910091400146484
temporal,0.008875131607055664,0.0,0.008886098861694336
acl,0.008096933364868164,0.0,0.008107900619506836
mixed,0.008720159530639648,0.0,0.008732080459594727
sfc,0.007487058639526367,0.0,0.0074961185455322266
qos,0.00033402442932128906,0.0,0.0003409385681152344
temporal,0.0004591941833496094,9.5367431640625e-07,0.00046706199645996094
acl,0.008639097213745117,0.0,0.008651018142700195
mixed,0.0003027915954589844,9.5367431640625e-07,0.00032806396484375
sfc,0.00045013427734375,0.0,0.0004730224609375
qos,0.007920026779174805,0.0,0.00793313980102539
temporal,0.000514984130859375,9.5367431640625e-07,0.00055694580078125
acl,0.0006241798400878906,0.0,0.0006480216979980469
mixed,0.0004019737243652344,0.0,0.0004119873046875
sfc,0.00834798812866211,1.1920928955078125e-06,0.008358001708984375
qos,0.0002789497375488281,0.0,0.00028705596923828125
temporal,0.00921487808227539,0.0,0.009243011474609375
acl,0.007564067840576172,0.0,0.0075778961181640625
mixed,0.009729862213134766,0.0,0.009763002395629883
sfc,0.007616996765136719,0.0,0.00762486457824707
qos,0.0003249645233154297,0.0,0.0003311634063720703
temporal,0.008578062057495117,9.5367431640625e-07,0.008605003356933594
acl,0.0074329376220703125,0.0,0.007444858551025391
mixed,0.00024390220642089844,0.0,0.0002570152282714844
sfc,0.009763002395629883,0.0,0.009777069091796875
qos,0.006964921951293945,0.0,0.006975889205932617
temporal,0.008625984191894531,0.0,0.008650064468383789
acl,0.00041222572326660156,0.0,0.0004229545593261719
mixed,0.0003330707550048828,0.0,0.0003609657287597656
sfc,0.0003669261932373047,0.0,0.0003879070281982422
qos,0.0002789497375488281,0.0,0.0002999305725097656
temporal,0.0003440380096435547,0.0,0.0003490447998046875
acl,0.0003809928894042969,1.3113021850585938e-05,0.00041604042053222656
mixed,0.0003180503845214844,0.0,0.00032901763916015625
sfc,0.00728297233581543,0.0,0.0072939395904541016
qos,0.0002541542053222656,0.0,0.0002620220184326172
temporal,0.00898599624633789,0.0,0.009012937545776367
acl,0.0003650188446044922,0.0,0.0003731250762939453
mixed,0.0003178119659423828,0.0,0.00032591819763183594
sfc,0.0075931549072265625,0.0,0.007604122161865234
qos,0.00026988983154296875,9.5367431640625e-07,0.0002789497375488281
temporal,0.009516000747680664,0.0,0.009639978408813477
acl,0.0073931217193603516,0.0,0.00740504264831543
mixed,0.008913040161132812,0.0,0.008942127227783203
sfc,0.0004799365997314453,0.0,0.0005040168762207031
qos,0.007483959197998047,0.0,0.0075130462646484375
temporal,0.008564949035644531,9.5367431640625e-07,0.008604049682617188
acl,0.0003631114959716797,0.0,0.00037407875061035156
mixed,0.00028705596923828125,0.0,0.0002970695495605469
sfc,0.007601022720336914,0.0,0.007609844207763672
qos,0.00904393196105957,0.0,0.009070873260498047
temporal,0.009425163269042969,0.0,0.009469985961914062
acl,0.0007059574127197266,0.0,0.0007429122924804688
mixed,0.0005161762237548828,0.0,0.0005290508270263672
sfc,0.0008871555328369141,0.0,0.0009140968322753906
qos,0.00026988983154296875,0.0,0.0002779960632324219
temporal,0.00037407875061035156,0.0,0.0003809928894042969
acl,0.0004150867462158203,0.0,0.0004241466522216797
mixed,0.007617950439453125,0.0,0.007628917694091797
sfc,0.0008370876312255859,0.0,0.0008449554443359375
qos,0.008413076400756836,0.0,0.008441925048828125
temporal,0.007808208465576172,0.0,0.00782012939453125
acl,0.009541988372802734,0.0,0.009552955627441406
mixed,0.008032083511352539,0.0,0.008042097091674805
sfc,0.0005640983581542969,0.0,0.0005719661712646484
qos,0.00025916099548339844,0.0,0.0002651214599609375
temporal,0.00034499168395996094,0.0,0.00034999847412109375
acl,0.00037097930908203125,0.0,0.0003790855407714844
mixed,0.0003650188446044922,0.0,0.000392913818359375
sfc,0.0003390312194824219,0.0,0.0003490447998046875
